Algorithm,Precision,Recall,Fmeasure_Score,hamming_loss_avg,Accuracy_Score,Train/Test_Size,project
BERT,0.661148473874806,0.46137184115523466,0.5434828832660005,0.2141645885286783,0.7858354114713217,0.4,all_2
BERT,0.6897338403041825,0.32743682310469313,0.4440636474908201,0.22653366583541149,0.7734663341645885,0.4,all_2
BERT,0.6495525200188412,0.49783393501805057,0.5636623748211731,0.21296758104738153,0.7870324189526184,0.4,all_2
BERT,0.592384249242752,0.4942238267148014,0.5388703011218264,0.23371571072319203,0.766284289276808,0.4,all_2
BERT,0.7251717676452217,0.41913357400722023,0.5312285518188058,0.20438902743142146,0.7956109725685785,0.4,all_2
BERT,0.6428982173663025,0.4036101083032491,0.49589709469948995,0.22673316708229427,0.7732668329177057,0.4,all_2
BERT,0.7208872458410351,0.4223826714801444,0.5326656043705896,0.20478802992518702,0.795211970074813,0.4,all_2
BERT,0.7118412046543463,0.37545126353790614,0.491609548570078,0.21456359102244388,0.7854364089775561,0.4,all_2
BERT,0.6601890756302521,0.45379061371841156,0.5378690629011553,0.21546134663341646,0.7845386533665836,0.4,all_2
BERT,0.642823080591321,0.4866425992779783,0.5539346620094514,0.21655860349127182,0.7834413965087281,0.4,all_2
BERT,0.6789982925441093,0.43068592057761734,0.5270598630439585,0.21356608478802994,0.78643391521197,0.30000000000000004,all_2
BERT,0.6804123711340206,0.47653429602888087,0.5605095541401275,0.20648379052369079,0.7935162094763092,0.30000000000000004,all_2
BERT,0.7462211614956245,0.3386281588447653,0.46585547554010426,0.21456359102244388,0.7854364089775561,0.30000000000000004,all_2
BERT,0.6771124790151091,0.4368231046931408,0.5310511301294711,0.21316708229426434,0.7868329177057356,0.30000000000000004,all_2
BERT,0.6863839285714286,0.44404332129963897,0.5392371766768961,0.20967581047381545,0.7903241895261846,0.30000000000000004,all_2
BERT,0.6991044776119403,0.4227436823104693,0.5268841394825647,0.20977556109725687,0.7902244389027431,0.30000000000000004,all_2
BERT,0.7358093903293623,0.37906137184115524,0.5003573981415297,0.2091770573566085,0.7908229426433915,0.30000000000000004,all_2
BERT,0.7250778816199377,0.336101083032491,0.4592994573260977,0.21865336658354115,0.7813466334164588,0.30000000000000004,all_2
BERT,0.6691137912952281,0.46064981949458483,0.5456489202480223,0.2119700748129676,0.7880299251870324,0.30000000000000004,all_2
BERT,0.6652119700748129,0.3851985559566787,0.48788294467306814,0.22344139650872819,0.7765586034912718,0.30000000000000004,all_2
BERT,0.7017892644135189,0.3823104693140794,0.4949754615564383,0.21556109725685785,0.7844389027431422,0.20000000000000007,all_2
BERT,0.6965601965601965,0.40938628158844764,0.5156889495225102,0.21246882793017458,0.7875311720698255,0.20000000000000007,all_2
BERT,0.7632620744259699,0.348014440433213,0.4780560376890652,0.20997506234413965,0.7900249376558603,0.20000000000000007,all_2
BERT,0.6753321779318313,0.4220216606498195,0.5194401244167962,0.21576059850374066,0.7842394014962594,0.20000000000000007,all_2
BERT,0.7103658536585366,0.42057761732851984,0.528344671201814,0.20748129675810473,0.7925187032418952,0.20000000000000007,all_2
BERT,0.6991341991341992,0.3498194945848375,0.4663137632338787,0.22124688279301746,0.7787531172069826,0.20000000000000007,all_2
BERT,0.7670830271858927,0.3768953068592058,0.505446623093682,0.20379052369077308,0.7962094763092269,0.20000000000000007,all_2
BERT,0.7558945908460472,0.3935018050541516,0.5175688509021843,0.20269326683291772,0.7973067331670822,0.20000000000000007,all_2
BERT,0.714371617558629,0.42888086642599277,0.5359801488833748,0.20518703241895261,0.7948129675810474,0.20000000000000007,all_2
BERT,0.6844389336639801,0.39855595667870036,0.5037645448323067,0.2169576059850374,0.7830423940149626,0.20000000000000007,all_2
